timestamp,depth_m,standpipe_pressure_kpa,pump_flow_lpm,hookload_kn,torque_knm,rate_of_penetration_m_h,pump_rpm,operation,data_quality,mud_density_sg,plastic_viscosity_cp
2026-01-01 00:00:00,3000.0,14019.689705542647,903.0783128032818,120.03771906632802,17.49637378715835,12.075407677004986,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:01,3000.25641025641,14021.301967014466,898.2144957663401,119.96036854101261,18.605569509895624,11.746722363923109,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:02,3000.5128205128203,14002.289840268571,896.819949520691,120.19212679513298,18.53835016951292,11.848974597906876,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:03,3000.769230769231,13964.930653725258,898.5830722208824,120.03147003514592,18.31252456028017,11.563541552952321,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:04,3001.025641025641,13997.423872499074,910.8988556452869,119.83929918805167,18.10578225213172,11.488927933445357,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:05,3001.2820512820513,13981.762133995582,899.7011941856422,120.10847851647284,17.87443087418543,12.252164596307292,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:06,3001.5384615384614,13965.631455787116,900.5197155779313,120.39120001353903,18.583208273414783,12.232466324965122,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:07,3001.7948717948716,14007.861319772825,891.0775627819476,120.28412428893877,18.784103326579984,12.517823527776446,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:08,3002.051282051282,13987.386263646309,909.8840343981366,119.7888794292579,18.72065394794645,11.698157683496028,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:09,3002.3076923076924,13976.054889049712,905.5049279006657,119.62037355868618,18.526041505893748,12.67564298097747,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:10,3002.5641025641025,13975.924972998211,906.4016092020311,119.81301766123879,18.142952164263583,11.885044916876533,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:11,3002.8205128205127,14008.910426992723,900.2860363872701,120.01239779380417,17.516672547087133,12.629763311537834,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:12,3003.076923076923,14011.366798729257,905.4999287329475,119.30249076760835,17.998218346751965,11.826885661126962,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:13,3003.3333333333335,14035.66143674417,902.2256810105664,119.93436250082024,18.262589974030533,11.70580668306309,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:14,3003.5897435897436,14002.452133286897,903.6791344671541,119.62622671582407,17.48465541450018,12.099914148623467,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:15,3003.846153846154,14029.04599398032,899.0868422495503,119.78031979358896,18.158048824072804,12.412581233947789,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:16,3004.102564102564,14038.256620669314,891.1566723117483,119.83672230514281,18.171945477928894,12.064403830686137,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:17,3004.358974358974,14032.154140903742,906.1731260868191,119.90510995308925,18.278417089585147,11.765788470350666,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:18,3004.6153846153848,13944.467402343076,888.3902421803417,120.12348916091224,17.526352813297123,11.463512114369333,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:19,3004.871794871795,14034.517092980084,898.5603799724518,120.3127540108328,17.735318971184387,11.43939191403303,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:20,3005.128205128205,14012.490500206217,898.7728650696021,119.9614396011168,17.82542590114271,12.201073139949946,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:21,3005.3846153846152,14014.794283821335,893.742839154093,120.4099390411649,17.532079236890855,12.395885213314322,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:22,3005.641025641026,14013.680685443405,903.6787388180195,119.80044159795402,18.695747150852053,11.934282162949884,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:23,3005.897435897436,14014.16892900677,898.7980217915426,120.10545302102791,17.801635708623138,11.570254056708626,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:24,3006.153846153846,14012.785355506308,897.3787900464163,120.27104105449554,18.13158785178408,12.349216861048683,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:25,3006.4102564102564,13996.027167286535,903.1190503858659,120.02820368932827,17.89657098181043,11.48784242211417,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:26,3006.6666666666665,13957.659117540601,897.1405257566495,119.77695022519386,18.63338915152085,11.714772761976292,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:27,3006.923076923077,14002.677131802315,908.3338798490298,119.72348238712247,18.528144394832736,12.24840714141604,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:28,3007.1794871794873,13985.506703786983,902.1087304571239,119.86268225229979,18.253341049129965,11.099943530570163,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:29,3007.4358974358975,14032.804085313446,897.1540020789934,120.06605853704102,17.118596047741338,12.154547839026522,120.0,drilling,ok,1.2,25.0
2026-01-01 00:00:30,3007.6923076923076,13998.780837350116,888.3344101440867,119.69711454493837,18.020811589703953,11.767343665436199,120.0,drilling,ok,1.2,25.0
